method,replicate,seed,n_samples,fidelity_auc,privacy_dcr,privacy_mi_auc,privacy_mi_valid,utility_tstr,fairness_gap,timestamp
independent_marginals,1,42,35000,0.8840858285656509,0.13981084170699842,0.5031461485714286,False,0.04033241262211381,0.04831300570457942,2026-01-24T13:01:28.745515
independent_marginals,2,123,35000,0.8788773373894316,0.13896398482596548,0.5031461485714286,False,0.03200731645596276,0.07438837989789258,2026-01-24T13:01:59.661110
independent_marginals,3,456,35000,0.8776862503789578,0.13933757689869858,0.5031461485714286,False,0.04717067313039976,0.0809975296345772,2026-01-24T13:02:30.594709
independent_marginals,4,789,35000,0.8752450563715564,0.1380597342863051,0.5031461485714286,False,0.03090522310798157,0.07000180637047648,2026-01-24T13:03:01.416222
independent_marginals,5,1011,35000,0.8848410078387655,0.14167879221144933,0.5031461485714286,False,0.035273513414801325,0.12740927623649229,2026-01-24T13:03:32.424989
ctgan,1,42,35000,0.7990975507599147,0.07995197488931201,0.5031461485714286,False,0.9531591462527947,0.034553598334025604,2026-01-24T13:13:57.689443
ctgan,2,123,35000,0.8034461350485936,0.07896940262646558,0.5031461485714286,False,0.9396783124456596,0.07236683580231884,2026-01-24T13:24:20.801017
ctgan,3,456,35000,0.7822663512148579,0.07105955250484916,0.5031461485714286,False,0.9606225345074315,0.025026697528381048,2026-01-24T13:34:24.116660
ctgan,4,789,35000,0.8033871813814871,0.07539550109694464,0.5031461485714286,False,0.8769571925543086,0.07774823088700145,2026-01-24T13:44:32.268036
ctgan,5,1011,35000,0.8313434657749558,0.0880634381293883,0.5031461485714286,False,0.9790682788494606,0.08472780409984815,2026-01-24T13:54:50.953785
dpbn,1,42,35000,0.8570324035914196,0.10879752142188592,0.5031461485714286,False,0.9087031584559797,0.07816617815942162,2026-01-24T13:55:33.053569
dpbn,2,123,35000,0.8460707401580669,0.10595263850416523,0.5031461485714286,False,0.9398634819672513,0.03768556473073148,2026-01-24T13:56:14.054836
dpbn,3,456,35000,0.8585339749924031,0.10946713886483185,0.5031461485714286,False,0.8427149966756093,0.10571375924346083,2026-01-24T13:56:55.779957
dpbn,4,789,35000,0.8411459175496562,0.11207164948305559,0.5031461485714286,False,0.9412513247219187,0.031983089622461214,2026-01-24T13:57:37.531994
dpbn,5,1011,35000,0.8446524818385234,0.108081756651181,0.5031461485714286,False,0.9546580448525647,0.05643634126705366,2026-01-24T13:58:18.589504
synthpop,1,42,35000,0.4849428430051188,0.007470499424919397,0.5031461485714286,False,1.0000590626132513,0.03532980819703191,2026-01-24T13:59:07.383844
synthpop,2,123,35000,0.4825387979381233,0.006403285221359467,0.5031461485714286,False,1.0033800227939758,0.0137639120324905,2026-01-24T13:59:55.765955
synthpop,3,456,35000,0.4847043643088729,0.008537713628479241,0.5031461485714286,False,1.0003234031351884,0.02723201558402355,2026-01-24T14:00:43.923405
synthpop,4,789,35000,0.4845407075858483,0.006403285221359412,0.5031461485714286,False,0.9980686209424946,0.029863882334045466,2026-01-24T14:01:32.057915
synthpop,5,1011,35000,0.4827675610079781,0.006403285221359467,0.5031461485714286,False,0.9997637048363883,0.02921950707365295,2026-01-24T14:02:20.526220
great,1,42,35000,0.7257613532561374,0.05201642023124464,0.5031461485714286,False,0.8785814024992424,0.08249373801831994,2026-01-26T19:26:00.631908
great,2,123,35000,0.7285111972131691,0.05201642023124453,0.5031461485714286,False,0.8918122375162324,0.07873914800213777,2026-01-26T19:26:31.669615
great,3,456,35000,0.7282179824048477,0.051544592119892096,0.5031461485714286,False,0.8892053411510827,0.07533366594111568,2026-01-26T19:27:03.674154
great,4,789,35000,0.7296251807433843,0.051634678301127966,0.5031461485714286,False,0.8878267455532503,0.08864307208386246,2026-01-26T19:27:34.248426
great,5,1011,35000,0.7315242501788107,0.05201642023124453,0.5031461485714286,False,0.8903119770294982,0.058414915192336436,2026-01-26T19:28:04.956800
