method,replicate,seed,n_samples,fidelity_auc,privacy_dcr,privacy_mi_auc,privacy_mi_valid,utility_tstr,fairness_gap,timestamp,efficiency_time
ctgan,1,42,3500,0.8282487224202469,0.2063244775729965,0.5403472380952381,False,0.9105676337892384,0.079868417434623,2026-01-21T20:50:50.022071,1.0
ctgan,2,123,3500,0.8350647068419721,0.2055320596301817,0.5403472380952381,False,0.9009516514863308,0.0448481473064257,2026-01-21T20:51:52.314329,1.0
ctgan,3,456,3500,0.8135522604997281,0.2064153356612955,0.5403472380952381,False,0.8705921391228973,0.1354259998823911,2026-01-21T20:52:54.965916,1.0
ctgan,4,789,3500,0.8226365634945584,0.218382418752519,0.5403472380952381,False,0.8745078458955641,0.1687966389990123,2026-01-21T20:53:57.741249,1.0
ctgan,5,1011,3500,0.8273972188297515,0.2090404460370835,0.5403472380952381,False,0.8657457974613801,0.1028147629786215,2026-01-21T20:55:00.308286,1.0
independent_marginals,1,42,3500,0.8294533882516403,0.330769933489456,0.5403472380952381,False,0.7079727129294385,0.1395438591744978,2026-01-21T20:55:24.491269,0.1
independent_marginals,2,123,3500,0.8484817648689328,0.319202380898572,0.5403472380952381,False,0.6172305536982201,0.1496128000750317,2026-01-21T20:55:27.866352,0.1
independent_marginals,3,456,3500,0.8438116900690465,0.3368805163742208,0.5403472380952381,False,0.5660927307516648,0.1449315632389743,2026-01-21T20:55:31.265579,0.1
independent_marginals,4,789,3500,0.8521069641825618,0.3278975300141741,0.5403472380952381,False,0.6285466753303011,0.0598653566489824,2026-01-21T20:55:34.626584,0.1
independent_marginals,5,1011,3500,0.8347831798458998,0.3192747646410005,0.5403472380952381,False,0.6536429128208031,0.1201377581816278,2026-01-21T20:55:37.988879,0.1
dpbn,1,42,3500,0.9536186138519576,0.6003838216819308,0.5403472380952381,False,0.8584833387103724,0.0619833387103724,2026-01-21T20:55:41.618607,0.5
dpbn,2,123,3500,0.9206403922464234,0.4184498691054748,0.5403472380952381,False,0.8599444256462313,0.1035341692359748,2026-01-21T20:55:45.254771,0.5
dpbn,3,456,3500,0.934273213859762,0.5730646167757681,0.5403472380952381,False,0.869718590110809,0.0546128645000556,2026-01-21T20:55:48.891256,0.5
dpbn,4,789,3500,0.9478624618181124,0.5960933421114125,0.5403472380952381,False,0.8377819360267287,0.1485030898728825,2026-01-21T20:55:52.528186,0.5
dpbn,5,1011,3500,0.9411762817780364,0.610945102116395,0.5403472380952381,False,0.8415540235359814,0.0727701787706384,2026-01-21T20:55:56.140069,0.5
synthpop,1,42,3500,0.4439981741660367,0.091698588913937,0.5403472380952381,False,0.9777452336885232,0.0811385348726648,2026-01-21T20:55:59.460814,0.5
synthpop,2,123,3500,0.4510902936641461,0.0852202186247112,0.5403472380952381,False,0.9998154995443967,0.1147442214669371,2026-01-21T20:56:02.824585,0.5
synthpop,3,456,3500,0.4513531368655543,0.0875187819948598,0.5403472380952381,False,0.9866257535222064,0.0647507535222063,2026-01-21T20:56:06.139694,0.5
synthpop,4,789,3500,0.443051424942882,0.075016098852737,0.5403472380952381,False,0.994184271951144,0.0926822001279394,2026-01-21T20:56:09.467290,0.5
synthpop,5,1011,3500,0.455697474559414,0.0816836641913417,0.5403472380952381,False,0.9988735214969648,0.0769985214969647,2026-01-21T20:56:12.792601,0.5
great,1,42,3500,0.6838855503362344,0.1272259557996697,0.588440612244898,False,0.978280213082046,0.0485161685530453,2026-01-23T12:14:38.741908,60.0
great,2,123,3500,0.6722246839930875,0.1254970869597932,0.5797619183673469,False,0.9682727311321256,0.0262425749903233,2026-01-23T12:14:41.990220,60.0
great,3,456,3500,0.6950381205898623,0.1312612058342637,0.5873143673469388,False,0.9483295528814732,0.0566096568449703,2026-01-23T12:14:45.208073,60.0
great,4,789,3500,0.6886689873796317,0.128238206685586,0.589127387755102,False,0.9642331891753076,0.0426792532210058,2026-01-23T12:14:48.443035,60.0
great,5,1011,3500,0.6866742994158249,0.1274019746128915,0.5834683673469387,False,0.964447525503117,0.0429125131069215,2026-01-23T12:14:51.696533,60.0
